CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Rapid City,Main Street Square,SD,US,2018-03-24,about 500; 800 or so,500,,800,,,"March for Our Lives - Rapid City, SD",support gun control,1,march ,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.kotatv.com/content/news/Hundred-of-people-participated-in-the-March-for-Our-Lives-rally-in-Rapid-City-477831373.html,,the 500 number includes some counter-protestors
Sioux Falls,,SD,US,2018-03-24,more than 300,300,,300,,,March for Our Lives ,support gun control,1,march,0,0,0,0,1,1,https://www.argusleader.com/story/news/politics/2018/03/24/hundreds-brave-heavy-snow-march-gun-reform-sioux-falls/451140002/,,,heavy snow and wind
Vermillion,Vermillion First United Methodist Church,SD,US,2018-03-24,More than 100,100,,100,,,"Vermillion, SD March for Our Lives",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://siouxlandnews.com/news/local/march-for-our-lives-hundreds-protest-in-vermillion-to-say-enough-is-enough,,
Chattanooga,,TN,US,2018-03-24,at least a thousand,1000,,1000,,,students,support gun control,1,march,0,0,0,0,1,1,https://twitter.com/annehelen/status/977943281093914624,http://www.timesfreepress.com/news/breakingnews/story/2018/mar/24/live-march-our-lives/466762/,,
Clarksville,McGregor Park,TN,US,2018-03-24,About 200,200,,200,,,March for Our Lives ,support gun control,1,rally,0,0,0,0,1,1,https://www.tennessean.com/story/news/2018/03/24/march-our-lives-nashville-memphis-tennessee-knoxville/454718002/,https://www.tennessean.com/story/news/local/clarksville/2018/03/24/march-our-lives-clarksville-event-held-saturday/453759002/,,
Cookeville,Courthouse on the Square,TN,US,2018-03-24,over 400,400,,400,,,March for Our Lives ,support gun control,1,rally,0,0,0,0,1,1,https://twitter.com/Mrch4RLivesCKVL/status/977613177742675973,https://uppercumberlandreporter.com/2018/03/cookeville-community-march-for-our-lives-rally/,,
Knoxville,University of Tennessee; Circle Park,TN,US,2018-03-24,approx 1000,1000,,1000,,,March for Our Lives ,support gun control,1,protest,0,0,0,0,1,1,https://www.tennessean.com/story/news/2018/03/24/march-our-lives-nashville-memphis-tennessee-knoxville/454718002/,,,
Jackson,Downtown Jackson,TN,US,2018-03-24,About 75,75,,75,,,Indivisible Jackson,support gun control,1,march,0,0,0,0,1,1,https://www.tennessean.com/story/news/local/2018/03/24/march-our-lives-rally-students-speak-out-against-gun-violence/452933002/,,,
Johnson City,State of Franklin Road and University Parkway to East Tennessee State University,TN,US,2018-03-24,hundreds,200,,200,,,March for Our Lives ,support gun control,1,march,0,0,0,0,1,1,http://www.heraldcourier.com/news/march-for-our-lives-event-to-be-held-in-abingdon/article_10a67360-2e49-11e8-ba00-4bd4ec603aa0.html,http://www.wjhl.com/local/happening-now-march-for-our-lives-in-johnson-city/1075072079,,
Memphis,Clayborn Temple to Civil Rights Museum,TN,US,2018-03-24,about 1500,1500,,1500,,,March for Our Lives; Bridges USA ,support gun control,1,march,0,0,0,0,1,1,https://www.commercialappeal.com/story/news/education/2018/03/24/march-our-lives-memphis-live-updates/437125002/,,,
Nashvile,downtown,TN,US,2018-03-24,between 10000 and 12000,10000,,12000,,,March for Our Lives ,support gun control,1,march,0,0,0,0,1,1,http://fox17.com/news/local/march-for-our-lives-in-nashville,,,
Abilene,Walnut St.,TX,US,2018-03-24,about 200; nearly 250,200,,250,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://www.reporternews.com/story/news/local/2018/03/24/even-abilene-students-say-enough-enough-they-march-their-lives/455875002/,http://ktxs.com/news/abilene/close-to-250-people-attend-saturday-afternoons-march-for-our-lives-rally-in-abilene,,
Amarillo,Ellwood Park to old Potter County Courthouse,TX,US,2018-03-24,500 to 630,500,,630,,,March for Our Lives ,support gun control,1,march,0,0,0,0,1,1,http://www.newschannel10.com/story/37792968/march-for-our-lives-demonstration-to-be-held-in-amarillo,form,,
Austin,capitol,TX,US,2018-03-24,estimated 20000,20000,,20000,,,March for Our Lives ,support gun control,1,march,0,0,0,0,1,1,https://www.statesman.com/news/local/thousands-austin-students-expected-rally-saturday-for-gun-control-starting-noon/gHAGLBfi6EBw6dYPYZdhuI/,,,
Beaumont,downtown Beaumont,TX,US,2018-03-24,na,262,,262,,,Lamar Social Work Students Association,support gun control,1,march,0,0,0,0,1,1,http://www.12newsnow.com/article/news/local/hundreds-participate-in-march-for-our-lives-in-downtown-beaumont/502-531871167,,,
Beeville,downtown,TX,US,2018-03-24,about 40,40,,40,,,March for Our Lives ,promote school safety,0,march,0,0,0,0,1,1,https://www.caller.com/story/news/education/2018/03/19/march-our-lives-south-texas-not-gun-control/438636002/,https://www.caller.com/story/news/education/2018/03/24/corpus-christi-residents-attend-local-march-our-lives-rally-sherill-park/438669002/,https://www.mysoutex.com/beeville_bee_picayune/news/youths-adults-marching-for-school-safety/article_45a1100a-3675-11e8-acd6-bbaa6ec6f15c.html,
Brenham,Courthouse,TX,US,2018-03-24,About 50,50,,50,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://www.brenhambanner.com/news/rally-calls-for-end-to-violence/article_2197eb19-4e34-54fa-9944-6f0a0bad4bb4.html,,,
