City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Admin Role
Littleton,Columbine High School,CO,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,,,,,1,1,https://www.nytimes.com/2018/03/14/us/school-walkout.html,,,,
Lone Tree,Rock Canyon High School,CO,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,,,,,1,1,https://actionnetwork.org/events/rock-canyon-high-school-enough-walkout,,,,
Longmont,Longmont HS,CO,US,2018-03-14,about 250,250,,250,,,students,Enough: National School Walkout,1,walkout; march,0,0,0,0,1,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,about 60 of 250 then went on march,
Longmont,Silver Creek HS,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Longmont,Skyline HS,CO,US,2018-03-14,about 200,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Louisville,Louisville Middle,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Louisville,Monarch High School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Thornton,Horizon High School,CO,US,2018-03-14,100,100,,100,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.denverpost.com/2018/03/14/colorado-national-school-walkout-to-end-gun-violence/,,,,
Wiggins,Wiggins High School,CO,US,2018-03-14,30,30,,30,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.brushnewstribune.com/brush-news/ci_31748757/morgan-county-students-join-national-gun-violence-protest,,,,
Bethel,Bethel High School,CT,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.newstimes.com/local/article/Bethel-High-School-students-to-protest-gun-12750378.php,,,,
Bridgeport,Fairchild Wheeler magnet,CT,US,2018-03-14,,,,,,,Students,,1,walkout,0,0,0,0,1,1,https://twitter.com/FOX61News/status/973975648476770306,,,,
Bridgeport,Harding High School,CT,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://www.newstimes.com/news/slideshow/Southwestern-Connecticut-students-walk-out-to-179480/photo-15230135.php,,,,
Bridgeport,Central High School,CT,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://www.newstimes.com/news/slideshow/Southwestern-Connecticut-students-walk-out-to-179480/photo-15230287.php,,,,
Cheshire ,Cheshire High School,CT,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,http://www.wfsb.com/story/37720950/connecticut-students-to-join-thousands-nationwide-in-gun-violence-walkout,,,,
Colchester,Bacon Academy,CT,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,http://www.wfsb.com/story/37720950/connecticut-students-to-join-thousands-nationwide-in-gun-violence-walkout,,,,
Danbury,Danbury High School,CT,US,2018-03-14,From photo: hundreds,200,,200,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.newstimes.com/news/slideshow/Southwestern-Connecticut-students-walk-out-to-179480/photo-15230287.php,,,,
Darien,Darien High School,CT,US,2018-03-14,600; as many as 900,600,,700,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.darientimes.com/99045/darien-students-take-part-in-national-walkout/,,,,
East Hartford,East Hartford High School,CT,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,http://www.courant.com/news/connecticut/hc-news-connecticut-students-national-walkout-scenes-20180314-story.html,,,,
Enfield,Enfield HS,CT,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,http://www.courant.com/news/connecticut/hc-news-connecticut-national-walkout-reaction-20180314-story.html#nt=oft12aH-1la1,,,,
Fairfield,Warde High School,CT,US,2018-03-14,From photo: scores,40,,40,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.newstimes.com/news/slideshow/Southwestern-Connecticut-students-walk-out-to-179480/photo-15230287.php,,,,
Farmington,Farmington High School,CT,US,2018-03-14,about 75; over 100,75,,100,,,students,,1,walkout,0,0,0,0,1,1,https://twitter.com/JordanOteroHC/status/973922529113989120,http://www.courant.com/news/connecticut/hc-news-connecticut-students-national-walkout-scenes-20180314-story.html,http://www.courant.com/news/connecticut/hc-news-connecticut-national-walkout-reaction-20180314-story.html#nt=oft12aH-1la1,,"""They had defied school administrators, who told them they would not be permitted to speak about specific policy goals tied to the movement during a school-sanctioned assembly."""
