store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,store_name_l,store
Dollar General 14633,st_373266,1402,E Newport Pike,NA,Wilmington,DE,19804,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-75.60175,39.71745,usda,NA,NA,CO,L204523,dollar general 14633,Dollar General
Dollar General 14634,st_361444,9077,Blackbird Ln,NA,Thornville,OH,43076,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-82.40852,39.91555,usda,NA,NA,CO,L204524,dollar general 14634,Dollar General
Dollar General 14635,st_335775,1050,E Main St,NA,Chillicothe,OH,45601,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-82.95224,39.3378,usda,NA,NA,CO,L204525,dollar general 14635,Dollar General
Dollar General 14636,st_334187,7671,N Dixie Hwy,NA,Bonnieville,KY,42713,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-85.90312,37.37912,usda,NA,NA,CO,L204526,dollar general 14636,Dollar General
Dollar General 14637,st_330030,3785,Lee Rd,NA,Cleveland,OH,44128,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.56487,41.45659,usda,NA,NA,CO,L204527,dollar general 14637,Dollar General
Dollar General 14639,st_351419,1500,New Bridge Rd,NA,Mineral,VA,23117,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-77.85308,38.0827,usda,NA,NA,CO,L204528,dollar general 14639,Dollar General
Dollar General 14640,st_335767,1526,S Broad St,NA,Monroe,GA,30655,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-83.703,33.77333,usda,NA,NA,CO,L204529,dollar general 14640,Dollar General
Dollar General 14641,st_332866,105,Route US 9 S,NA,Marmora,NJ,8223,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-74.65033,39.26191,usda,NA,NA,CO,L204530,dollar general 14641,Dollar General
Dollar General 14642,st_337113,315,E Owen K Garriott Rd,NA,Enid,OK,73701,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-97.87476,36.39083,usda,NA,NA,CO,L204531,dollar general 14642,Dollar General
Dollar General 14643,st_337114,407,Market St,NA,Newport,MI,48166,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-83.34788,42.00339,usda,NA,NA,CO,L204532,dollar general 14643,Dollar General
Dollar General 14644,st_341287,1221,E Home Rd,NA,Springfield,OH,45503,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-83.78764,39.95212,usda,NA,NA,CO,L204533,dollar general 14644,Dollar General
Dollar General 14645,st_346082,7290,Bemiss Road,NA,Valdosta,GA,31601,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-83.28162,30.83712,usda,NA,NA,CO,L204534,dollar general 14645,Dollar General
DOLLAR GENERAL 14646,st_329390,8015,Highway 279,NA,Brownwood,TX,76801,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-99.09294,31.82,usda,NA,NA,CO,L204535,dollar general 14646,Dollar General
Dollar General 14647,st_351412,10386,Mt Savage Rd NW,NA,Cumberland,MD,21502,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-78.78658,39.68217,usda,NA,NA,CO,L204536,dollar general 14647,Dollar General
Dollar General 14648,st_346084,9001,N Lagoon Dr,NA,Panama City,FL,32408,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-85.78988,30.17221,usda,NA,NA,CO,L204537,dollar general 14648,Dollar General
Dollar General 14649,st_339075,700,N 20th St,NA,Palatka,FL,32177,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.64877,29.65517,usda,NA,NA,CO,L204538,dollar general 14649,Dollar General
Dollar General 14650,st_321828,3215,S 18th St,NA,Lafayette,IN,47909,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-86.87614,40.38011,usda,NA,NA,CO,L204539,dollar general 14650,Dollar General
Dollar General 14651,st_335625,4911,Carlisle Rd,NA,Dover,PA,17315,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-76.85786,40.00894,usda,NA,NA,CO,L204540,dollar general 14651,Dollar General
Dollar General 14652,st_337115,1618,Main St,NA,Buffalo,NY,14209,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-78.86247,42.91726,usda,NA,NA,CO,L204541,dollar general 14652,Dollar General
Dollar General 14653,st_335768,2400,W Mercury Blvd,NA,Hampton,VA,23666,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-76.40929,37.03712,usda,NA,NA,CO,L142088,dollar general 14653,Dollar General
DOLLAR GENERAL 14654,st_359816,616,Dutch Valley Dr,NA,Knoxville,TN,37918,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-83.95172,36.00637,usda,NA,NA,CO,L204542,dollar general 14654,Dollar General
Dollar General 14656,st_348570,74,E Main St,NA,Plainfield,CT,6374,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-71.90402,41.71973,usda,NA,NA,CO,L204543,dollar general 14656,Dollar General
Dollar General 14657,st_339130,6670,E Colonial Dr,NA,Orlando,FL,32807,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.29746,28.56565,usda,NA,NA,CO,L204544,dollar general 14657,Dollar General
Dollar General 14658,st_351851,830,27th Ave,NA,Vero Beach,FL,32960,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-80.41385,27.61709,usda,NA,NA,CO,L204545,dollar general 14658,Dollar General
Dollar General 14659,st_329203,5521,S York Hwy,NA,Grimsley,TN,38565,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.99223,36.25295,usda,NA,NA,CO,L204546,dollar general 14659,Dollar General
