district,Lcluster,ineq Rank,DistrictL,Representative,Party,years_in_house,Median_household_income,Mean_household_income,Per_capita_income,GiniIndex
CO-03,Pure rural,190,CO03,Rep. Scott Tipton,R,3,"$47,466 ","$63,330 ","$25,880 ",0.456
GA-01,Rural-suburban mix,191,GA01,Rep. Jack Kingston,R,21,"$44,761 ","$59,244 ","$22,766 ",0.455
MO-02,Dense suburban,192,MO02,Rep. Ann Wagner,R,1,"$72,298 ","$98,248 ","$39,123 ",0.455
AL-02,Pure rural,193,AL02,Rep. Martha Roby,R,3,"$42,015 ","$55,745 ","$22,228 ",0.454
MN-04,Dense suburban,194,MN04,Rep. Betty McCollum,D,13,"$59,554 ","$77,899 ","$30,995 ",0.454
FL-26,Urban-suburban mix,194,FL26,Rep. Joe Garcia,D,1,"$50,200 ","$66,374 ","$21,869 ",0.454
MD-08,Dense suburban,196,MD08,Rep. Chris Van Hollen,D,11,"$92,505 ","$124,083 ","$46,796 ",0.454
NE-02,Dense suburban,196,NE02,Rep. Lee Terry,R,15,"$55,679 ","$73,794 ","$29,120 ",0.454
TX-28,Sparse suburban,196,TX28,Rep. Henry Cuellar,D,9,"$41,881 ","$55,486 ","$16,844 ",0.454
TX-04,Pure rural,199,TX04,Rep. Ralph Hall,R,33,"$47,018 ","$62,093 ","$23,477 ",0.453
CA-20,Urban-suburban mix,199,CA20,Rep. Sam Farr,D,21,"$58,686 ","$78,497 ","$25,412 ",0.453
MO-05,Dense suburban,201,MO05,Rep. Emanuel Cleaver,D,9,"$43,657 ","$57,452 ","$24,013 ",0.453
OR-04,Rural-suburban mix,201,OR04,Rep. Peter DeFazio,D,27,"$41,027 ","$54,334 ","$22,559 ",0.453
FL-04,Sparse suburban,203,FL04,Rep. Ander Crenshaw,R,13,"$54,263 ","$72,417 ","$28,582 ",0.453
NC-06,Rural-suburban mix,204,NC06,Rep. Howard Coble,R,29,"$48,266 ","$64,733 ","$26,120 ",0.453
CA-22,Dense suburban,205,CA22,Rep. Devin Nunes,R,11,"$52,070 ","$69,747 ","$23,041 ",0.453
IN-07,Dense suburban,206,IN07,Rep. Andr̩ Carson,D,6,"$37,349 ","$49,955 ","$20,127 ",0.453
FL-15,Sparse suburban,206,FL15,Rep. Dennis Ross,R,3,"$48,763 ","$65,325 ","$24,434 ",0.453
CA-19,Urban-suburban mix,208,CA19,Rep. Zoe Lofgren,D,19,"$76,214 ","$98,171 ","$30,907 ",0.453
TX-05,Rural-suburban mix,209,TX05,Rep. Jeb Hensarling,R,11,"$44,218 ","$59,712 ","$21,548 ",0.452
FL-25,Urban-suburban mix,210,FL25,Rep. Mario Diaz-Balart,R,11,"$47,581 ","$62,839 ","$20,679 ",0.452
MI-06,Rural-suburban mix,211,MI06,Rep. Fred Upton,R,27,"$45,126 ","$59,689 ","$23,507 ",0.451
OH-12,Sparse suburban,212,OH12,Rep. Patrick Tiberi,R,13,"$62,822 ","$82,116 ","$32,056 ",0.451
KS-03,Dense suburban,213,KS03,Rep. Kevin Yoder,R,3,"$64,446 ","$85,389 ","$33,338 ",0.451
VA-03,Dense suburban,214,VA03,Rep. Robert Scott,D,21,"$41,114 ","$53,265 ","$21,693 ",0.451
GA-03,Rural-suburban mix,214,GA03,Rep. Lynn Westmoreland,R,9,"$51,618 ","$66,941 ","$24,479 ",0.451
MA-06,Sparse suburban,214,MA06,Rep. John Tierney,D,17,"$76,141 ","$98,315 ","$38,130 ",0.451
NJ-12,Dense suburban,217,NJ12,Rep. Rush Holt,D,15,"$78,312 ","$101,993 ","$36,902 ",0.451
CA-03,Rural-suburban mix,217,CA03,Rep. John Garamendi,D,4,"$54,849 ","$73,019 ","$25,565 ",0.451
OH-14,Sparse suburban,219,OH14,Rep. David Joyce,R,1,"$58,782 ","$78,123 ","$31,304 ",0.45
CA-23,Dense suburban,220,CA23,Rep. Kevin McCarthy,R,7,"$53,342 ","$69,037 ","$23,494 ",0.45
NC-02,Rural-suburban mix,221,NC02,Rep. Renee Ellmers,R,3,"$49,742 ","$65,425 ","$24,973 ",0.45
IL-12,Rural-suburban mix,222,IL12,Rep. William Enyart,D,1,"$43,838 ","$57,377 ","$23,082 ",0.45
MO-08,Pure rural,223,MO08,Rep. Jason Smith,R,1,"$36,867 ","$49,046 ","$19,603 ",0.449
TX-09,Urban-suburban mix,223,TX09,Rep. Al Green,D,9,"$40,875 ","$54,715 ","$19,353 ",0.449
