CD,Cluster,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban mix,Sparse suburban,Dense suburban,Urban-suburban mix,Pure urban
NY-27,Pure rural,0.481841127,0.349150862,0.162414123,0.006593888,Chris Collins,R,0.352,0.597,0.429,0.553,0.44,0.54,0.533771886,0.327947228,0.138280886,11,Lean R,1,1,0.0544,0,0.467577737,0.444104965,0.044439834,0.021741397,0.014993205,0.007142862
OH-01,Sparse suburban,0.080112869,0.329518834,0.40858329,0.181785007,Steve Chabot,R,0.446,0.512,0.463,0.524,0.472,0.518,0.59194223,0.407691354,3.66E-04,5,Tossup,0,1,0.3596,1,0.026863004,0.072803565,0.460341277,0.361333973,0.064678336,0.013979844
OH-02,Rural-suburban mix,0.295232963,0.272424893,0.320060313,0.112281831,Brad Wenstrup,R,0.397,0.558,0.437,0.547,0.443,0.542,0.650034237,0.328242413,0.021723351,9,Solid R,3,0,0.0374,0,0.099012821,0.458379628,0.247531413,0.122980817,0.055227495,0.016867826
OH-03,Dense suburban,4.88E-04,0.165905569,0.515882913,0.317723171,Joyce Beatty,D,0.67,0.286,0.697,0.289,0.674,0.313,0.314260119,0.685739881,0,-19,Solid D,-3,0,0.9999,0,0.015750647,0.028604747,0.061774235,0.732914276,0.143205845,0.01775025
OH-04,Rural-suburban mix,0.440972009,0.377845305,0.162593416,0.01858927,Jim Jordan,R,0.307,0.643,0.42,0.56,0.437,0.544,0.679888619,0.320111381,0,14,Solid R,3,0,0.0261,0,0.209374279,0.70824881,0.04410883,0.01923392,0.013012851,0.00602131
OH-05,Rural-suburban mix,0.426696732,0.309181976,0.221936573,0.042184719,Robert Latta,R,0.346,0.597,0.441,0.539,0.46,0.522,0.709001104,0.290998896,0,11,Solid R,3,0,0.0022,0,0.147919665,0.764348986,0.045919611,0.022094584,0.013885754,0.0058314
OH-06,Pure rural,0.659016829,0.257714556,0.083268615,0,Bill Johnson,R,0.267,0.693,0.427,0.552,0.447,0.531,0.706759591,0.293240409,0,16,Solid R,3,0,1.00E-04,0,0.905638594,0.05410832,0.015965305,0.010643404,0.008662515,0.004981863
OH-07,Rural-suburban mix,0.414109934,0.393901772,0.150147331,0.041840964,Bob Gibbs,R,0.328,0.625,0.442,0.537,0.469,0.509,0.640345918,0.289572383,0.070081698,12,Solid R,3,0,0.0794,0,0.139933829,0.77975493,0.044056266,0.018089502,0.012467158,0.005698315
OH-08,Rural-suburban mix,0.275377447,0.42758096,0.254808714,0.042232878,Warren Davidson,R,0.306,0.651,0.364,0.619,0.381,0.603,0.687646311,0.269715458,0.042638231,17,Solid R,3,0,3.00E-04,0,0.058927705,0.657896048,0.212593914,0.041149048,0.021352801,0.008080484
OH-09,Dense suburban,0.033891834,0.155484331,0.449805129,0.360818705,Marcy Kaptur,D,0.587,0.365,0.676,0.309,0.668,0.316,0.313128988,0.686853306,1.77E-05,-14,Solid D,-3,0,0.9999,0,0.021942889,0.039372831,0.075484362,0.472209782,0.363336501,0.027653636
OH-10,Sparse suburban,0.080560771,0.398678514,0.422169421,0.098591294,Michael Turner,R,0.44,0.513,0.482,0.501,0.493,0.493,0.640887458,0.326738997,0.032373545,4,Likely R,2,1,0.0517,0,0.012323479,0.036537108,0.851769159,0.076092904,0.018200063,0.005077287
OH-11,Urban-suburban mix,0.008812207,0.116512681,0.418454382,0.45622073,Marcia Fudge,D,0.805,0.17,0.827,0.165,0.82,0.172,0.197462056,0.802537944,0,-32,Solid D,-3,0,1,0,0.010621715,0.017194864,0.028058776,0.094916251,0.82741081,0.021797583
OH-12,Sparse suburban,0.228496451,0.402108526,0.311153191,0.058241831,Troy Balderson,R,0.419,0.532,0.439,0.544,0.448,0.537,0.665545355,0.298351937,0.036102709,7,Lean R,1,1,0.3052,1,0.047033672,0.305937204,0.547842664,0.063328429,0.026817328,0.009040704
OH-13,Sparse suburban,0.086337008,0.369338547,0.459099934,0.085224511,Tim Ryan,D,0.511,0.446,0.629,0.354,0.623,0.358,0.322648407,0.677296399,5.52E-05,-7,Solid D,-3,0,0.9997,0,0.022326086,0.062782972,0.695929832,0.176235532,0.033525369,0.009200209
OH-14,Sparse suburban,0.217287347,0.464330816,0.277927302,0.040454536,David Joyce,R,0.421,0.536,0.476,0.509,0.491,0.494,0.625779044,0.37373276,4.88E-04,5,Likely R,2,1,0.1521,0,0.055445156,0.32251186,0.522692185,0.059880152,0.028825235,0.010645411
OH-15,Rural-suburban mix,0.434296638,0.250644233,0.242030251,0.073028878,Steve Stivers,R,0.399,0.553,0.463,0.519,0.461,0.522,0.661645987,0.338354013,0,7,Solid R,3,0,0.0198,0,0.25616456,0.566703866,0.083757848,0.049217345,0.031455139,0.012701242
