CD,Cluster,Very low density,Low density,Medium density,High density,
TX-18,Dense suburban,0.005412291,0.173471911,0.602402345,0.218713453,
TX-19,Rural-suburban mix,0.378785634,0.242827011,0.317904467,0.060482888,
TX-20,Dense suburban,0.000877502,0.141511038,0.622116492,0.235494967,
TX-21,Dense suburban,0.283819983,0.181396678,0.360193109,0.17459023,
TX-22,Sparse suburban,0.081481522,0.413663155,0.436409187,0.068446135,
TX-23,Rural-suburban mix,0.364111532,0.374786934,0.245680677,0.015420858,
TX-24,Dense suburban,0.000110596,0.166223731,0.494127083,0.33953859,
TX-25,Rural-suburban mix,0.342303824,0.385620929,0.229142887,0.042932359,
TX-26,Sparse suburban,0.082004196,0.364687043,0.491452104,0.061856657,
TX-27,Rural-suburban mix,0.346251541,0.248925625,0.2845267,0.120296134,
TX-28,Sparse suburban,0.257379933,0.279116277,0.363171047,0.100332742,
TX-29,Dense suburban,0.00045818,0.168573437,0.590634228,0.240334155,
TX-30,Dense suburban,0.016538137,0.233212232,0.62013334,0.130116291,
TX-31,Sparse suburban,0.163464144,0.386099246,0.412717153,0.037719457,
TX-32,Dense suburban,9.40852E-05,0.159455062,0.506006278,0.334444575,
TX-33,Dense suburban,0.003517059,0.165780619,0.586879797,0.243822524,
TX-34,Rural-suburban mix,0.284365979,0.388333039,0.308560599,0.018740384,
TX-35,Dense suburban,0.048829619,0.292681546,0.467927047,0.190561789,
TX-36,Rural-suburban mix,0.459916157,0.243894323,0.279611924,0.016577596,
UT-01,Sparse suburban,0.25475282,0.302355194,0.405131632,0.037760353,
UT-02,Rural-suburban mix,0.293064408,0.270646941,0.274144308,0.162144342,
UT-03,Sparse suburban,0.113804032,0.310286375,0.450304901,0.125604692,
UT-04,Dense suburban,0.098599318,0.180608621,0.53187519,0.188916871,
VA-01,Rural-suburban mix,0.315054181,0.446739548,0.234571781,0.003634491,
VA-02,Dense suburban,0.090575491,0.155271336,0.527799792,0.226353381,
VA-03,Dense suburban,0.068027559,0.135902904,0.557539533,0.238530005,
VA-04,Rural-suburban mix,0.293188129,0.423560814,0.277074627,0.00617643,
VA-05,Pure rural,0.688245388,0.191476286,0.087367101,0.032911225,
VA-06,Rural-suburban mix,0.398602453,0.322629807,0.270913349,0.007854392,
VA-07,Rural-suburban mix,0.296637319,0.393770032,0.27149223,0.038100419,
VA-08,Urban-suburban mix,0.002773914,0.061057238,0.276106386,0.660062462,
VA-09,Pure rural,0.689762402,0.28582832,0.024409279,0,
VA-10,Sparse suburban,0.152722083,0.363414308,0.419675931,0.064187678,
VA-11,Dense suburban,0.000491493,0.10444192,0.625928756,0.269137831,
VT-AL,Pure rural,0.686158381,0.204506514,0.083493946,0.025841159,
WA-01,Sparse suburban,0.19901177,0.338325971,0.403876383,0.058785876,
WA-02,Dense suburban,0.133836566,0.254376189,0.452714522,0.159072723,
WA-03,Rural-suburban mix,0.293325015,0.22608711,0.380080892,0.100506983,
WA-04,Rural-suburban mix,0.352898474,0.395104133,0.200715578,0.051281816,
WA-05,Rural-suburban mix,0.295782887,0.235042329,0.345514509,0.123660276,
WA-06,Rural-suburban mix,0.246637527,0.411457053,0.231126558,0.110778862,
WA-07,Urban-suburban mix,0,0.035331312,0.27671227,0.687956418,
WA-08,Sparse suburban,0.184334606,0.424674259,0.349297794,0.041693341,
WA-09,Dense suburban,0.001667775,0.110337437,0.632191762,0.255803026,
WA-10,Dense suburban,0.090251461,0.306474305,0.562830059,0.040444175,
WI-01,Sparse suburban,0.216341933,0.406644704,0.280898915,0.096114447,
WI-02,Rural-suburban mix,0.29778123,0.329534634,0.243916468,0.128767667,
WI-03,Pure rural,0.550307369,0.307538818,0.123467926,0.018685887,
WI-04,Urban-suburban mix,0,0.036939577,0.307625139,0.655435284,
WI-05,Sparse suburban,0.186329325,0.445850878,0.252691957,0.11512784,
WI-06,Rural-suburban mix,0.402240886,0.324157122,0.227028134,0.046573857,
WI-07,Pure rural,0.737411576,0.194792203,0.061157803,0.006638418,
WI-08,Rural-suburban mix,0.413683499,0.288428576,0.263726707,0.034161218,
WV-01,Pure rural,0.514883928,0.325892315,0.143057165,0.016166592,
WV-02,Pure rural,0.501097351,0.382036401,0.107313218,0.00955303,
WV-03,Pure rural,0.6760207,0.212421445,0.098358104,0.013199752,
WY-AL,Pure rural,0.49199954,0.282464509,0.211754475,0.013781476,
